core_size,utilization,bin_writes,nbins,PackerArgs,ModelName
"(256, 256)",0.28794642857142855,15,14,Naive,ad_quantized_int8
"(256, 256)",0.80625,7,5,OFF_BBF_MR,ad_quantized_int8
"(256, 256)",0.80625,6,5,OFF_BNF_MR,ad_quantized_int8
"(256, 256)",0.80625,7,5,OFF_BFF_MR,ad_quantized_int8
"(256, 256)",0.80625,7,5,ON_BBF_MR,ad_quantized_int8
"(256, 256)",0.80625,6,5,ON_BNF_MR,ad_quantized_int8
"(256, 256)",0.80625,7,5,ON_BFF_MR,ad_quantized_int8
"(512, 512)",0.083984375,13,12,Naive,ad_quantized_int8
"(512, 512)",0.50390625,4,2,OFF_BBF_MR,ad_quantized_int8
"(512, 512)",0.50390625,3,2,OFF_BNF_MR,ad_quantized_int8
"(512, 512)",0.50390625,4,2,OFF_BFF_MR,ad_quantized_int8
"(512, 512)",0.50390625,4,2,ON_BBF_MR,ad_quantized_int8
"(512, 512)",0.50390625,3,2,ON_BNF_MR,ad_quantized_int8
"(512, 512)",0.50390625,4,2,ON_BFF_MR,ad_quantized_int8
"(256, 256)",0.050130208333333336,7,6,Naive,ks_quantized_int8
"(256, 256)",0.30078125,2,1,OFF_BBF_MR,ks_quantized_int8
"(256, 256)",0.30078125,2,1,OFF_BNF_MR,ks_quantized_int8
"(256, 256)",0.30078125,2,1,OFF_BFF_MR,ks_quantized_int8
"(256, 256)",0.30078125,2,1,ON_BBF_MR,ks_quantized_int8
"(256, 256)",0.30078125,2,1,ON_BNF_MR,ks_quantized_int8
"(256, 256)",0.30078125,2,1,ON_BFF_MR,ks_quantized_int8
"(512, 512)",0.012532552083333334,7,6,Naive,ks_quantized_int8
"(512, 512)",0.0751953125,2,1,OFF_BBF_MR,ks_quantized_int8
"(512, 512)",0.0751953125,2,1,OFF_BNF_MR,ks_quantized_int8
"(512, 512)",0.0751953125,2,1,OFF_BFF_MR,ks_quantized_int8
"(512, 512)",0.0751953125,2,1,ON_BBF_MR,ks_quantized_int8
"(512, 512)",0.0751953125,2,1,ON_BNF_MR,ks_quantized_int8
"(512, 512)",0.0751953125,2,1,ON_BFF_MR,ks_quantized_int8
"(256, 256)",0.3585540436126374,92,91,Naive,mbv2_cifar10_int8
"(256, 256)",0.81571044921875,71,40,OFF_BBF_MR,mbv2_cifar10_int8
"(256, 256)",0.6156305277122641,54,53,OFF_BNF_MR,mbv2_cifar10_int8
"(256, 256)",0.7958150724085366,73,41,OFF_BFF_MR,mbv2_cifar10_int8
"(256, 256)",0.81571044921875,71,40,ON_BBF_MR,mbv2_cifar10_int8
"(256, 256)",0.6156305277122641,54,53,ON_BNF_MR,mbv2_cifar10_int8
"(256, 256)",0.7958150724085366,73,41,ON_BFF_MR,mbv2_cifar10_int8
"(512, 512)",0.15686739408052885,53,52,Naive,mbv2_cifar10_int8
"(512, 512)",0.7415549538352273,31,11,OFF_BBF_MR,mbv2_cifar10_int8
"(512, 512)",0.4531724717881944,19,18,OFF_BNF_MR,mbv2_cifar10_int8
"(512, 512)",0.7415549538352273,32,11,OFF_BFF_MR,mbv2_cifar10_int8
"(512, 512)",0.7415549538352273,31,11,ON_BBF_MR,mbv2_cifar10_int8
"(512, 512)",0.4531724717881944,19,18,ON_BNF_MR,mbv2_cifar10_int8
"(512, 512)",0.7415549538352273,32,11,ON_BFF_MR,mbv2_cifar10_int8
"(256, 256)",0.09952799479166667,16,15,Naive,ic_quantized_int8
"(256, 256)",0.7464599609375,6,2,OFF_BBF_MR,ic_quantized_int8
"(256, 256)",0.7464599609375,3,2,OFF_BNF_MR,ic_quantized_int8
"(256, 256)",0.7464599609375,6,2,OFF_BFF_MR,ic_quantized_int8
"(256, 256)",0.7464599609375,6,2,ON_BBF_MR,ic_quantized_int8
"(256, 256)",0.7464599609375,3,2,ON_BNF_MR,ic_quantized_int8
"(256, 256)",0.7464599609375,6,2,ON_BFF_MR,ic_quantized_int8
"(512, 512)",0.033929998224431816,12,11,Naive,ic_quantized_int8
"(512, 512)",0.37322998046875,2,1,OFF_BBF_MR,ic_quantized_int8
"(512, 512)",0.37322998046875,2,1,OFF_BNF_MR,ic_quantized_int8
"(512, 512)",0.37322998046875,2,1,OFF_BFF_MR,ic_quantized_int8
"(512, 512)",0.37322998046875,2,1,ON_BBF_MR,ic_quantized_int8
"(512, 512)",0.37322998046875,2,1,ON_BNF_MR,ic_quantized_int8
"(512, 512)",0.37322998046875,2,1,ON_BFF_MR,ic_quantized_int8
