set_name,ncore,utilization,total_bins,total_bin_writes,heuristic,mode,pack_algo,bin_algo,sort_algo
MR-OFF-BSSF-BBF-SA,1,0.9322405133928572,35,88,MR,OFF,BSSF,BBF,SA
MR-OFF-BSSF-BBF-SA,2,0.9322405133928572,35,84,MR,OFF,BSSF,BBF,SA
MR-OFF-BSSF-BBF-SA,4,0.9322405133928572,35,84,MR,OFF,BSSF,BBF,SA
MR-OFF-BSSF-BBF-SA,8,0.9322405133928572,35,84,MR,OFF,BSSF,BBF,SA
MR-OFF-BSSF-BBF-SA,16,0.9322405133928572,35,84,MR,OFF,BSSF,BBF,SA
MR-OFF-BSSF-BNF-SO,1,0.6156305277122641,53,54,MR,OFF,BSSF,BNF,SO
MR-OFF-BSSF-BNF-SO,2,0.6156305277122641,53,54,MR,OFF,BSSF,BNF,SO
MR-OFF-BSSF-BNF-SO,4,0.6156305277122641,53,54,MR,OFF,BSSF,BNF,SO
MR-OFF-BSSF-BNF-SO,8,0.6156305277122641,53,54,MR,OFF,BSSF,BNF,SO
MR-OFF-BSSF-BNF-SO,16,0.6156305277122641,53,54,MR,OFF,BSSF,BNF,SO
MR-OFF-BSSF-BBF-SO,1,0.81571044921875,40,73,MR,OFF,BSSF,BBF,SO
MR-OFF-BSSF-BBF-SO,2,0.81571044921875,40,69,MR,OFF,BSSF,BBF,SO
MR-OFF-BSSF-BBF-SO,4,0.81571044921875,40,66,MR,OFF,BSSF,BBF,SO
MR-OFF-BSSF-BBF-SO,8,0.81571044921875,40,64,MR,OFF,BSSF,BBF,SO
MR-OFF-BSSF-BBF-SO,16,0.81571044921875,40,64,MR,OFF,BSSF,BBF,SO
